Time (s),Paw (cmH2O),Flow (l/min),Volume (ml),Vt (ml),Ti (s),RR (/min),PEEP (cmH2O)
1586740281.071656,5.5535888671875,0.0,0.0,300,1.2,18,5
1586740281.123132,5.592041015625,-0.054931640625,0.0,300,1.2,18,5
1586740281.167624,5.592041015625,-0.054931640625,0.0,300,1.2,18,5
1586740281.2164521,5.592041015625,-0.0823974609375,0.0,300,1.2,18,5
1586740281.2646132,5.6195068359375,0.0,0.0,300,1.2,18,5
1586740281.312066,5.6195068359375,0.0274658203125,0.0,300,1.2,18,5
1586740281.360178,5.6195068359375,0.10986328125,0.0,300,1.2,18,5
1586740281.455501,5.6195068359375,0.0,0.0,300,1.2,18,5
1586740281.5030751,5.6195068359375,-0.0274658203125,0.0,300,1.2,18,5
1586740281.553855,5.592041015625,0.0274658203125,0.0,300,1.2,18,5
1586740281.6031868,5.5535888671875,0.0,0.0,300,1.2,18,5
1586740281.6538198,5.5535888671875,0.0823974609375,0.0,300,1.2,18,5
1586740281.703664,5.6195068359375,0.0,0.0,300,1.2,18,5
1586740281.7544892,5.592041015625,0.0274658203125,0.0,300,1.2,18,5
1586740281.804864,5.6195068359375,-0.0274658203125,0.0,300,1.2,18,5
1586740281.853858,5.592041015625,-0.0274658203125,0.0,300,1.2,18,5
1586740281.90399,5.526123046875,-0.3021240234375,0.0,300,1.2,18,5
1586740281.953818,5.5535888671875,0.0274658203125,0.0,300,1.2,18,5
1586740282.0036118,5.526123046875,-0.10986328125,0.0,300,1.2,18,5
1586740282.0541089,5.3009033203125,-2.069091796875,0.0,300,1.2,18,5
1586740282.10714,5.2459716796875,-1.629638671875,0.0,300,1.2,18,5
1586740282.153474,5.218505859375,-0.6591796875,0.0,300,1.2,18,5
1586740282.204235,5.1617431640625,-0.3570556640625,0.0,300,1.2,18,5
1586740282.254548,5.10498046875,-0.2197265625,0.0,300,1.2,18,5
1586740282.3047,5.0775146484375,-0.3021240234375,0.0,300,1.2,18,5
1586740282.354805,5.050048828125,-0.2471923828125,0.0,300,1.2,18,5
1586740282.4032671,5.0225830078125,-0.2197265625,0.0,300,1.2,18,5
1586740282.453933,5.357666015625,0.604248046875,0.0,300,1.2,18,5
1586740282.5032,5.0775146484375,-0.2471923828125,0.0,300,1.2,18,5
1586740282.5543292,5.0775146484375,0.054931640625,0.0,300,1.2,18,5
1586740282.604238,5.10498046875,0.0,0.0,300,1.2,18,5
1586740282.653294,5.10498046875,-0.0823974609375,0.0,300,1.2,18,5
1586740282.704164,5.13427734375,0.0,0.0,300,1.2,18,5
1586740282.754312,5.10498046875,-0.10986328125,0.0,300,1.2,18,5
1586740282.804769,5.10498046875,-0.0274658203125,0.0,300,1.2,18,5
1586740282.854131,5.10498046875,0.0274658203125,0.0,300,1.2,18,5
1586740282.907836,5.10498046875,0.054931640625,0.0,300,1.2,18,5
1586740282.953172,5.13427734375,0.054931640625,0.0,300,1.2,18,5
1586740283.0044758,5.13427734375,0.0823974609375,0.0,300,1.2,18,5
1586740283.178024,5.10498046875,-0.10986328125,0.0,300,1.2,18,5
1586740283.230786,5.10498046875,0.0274658203125,0.0,300,1.2,18,5
1586740283.28317,5.10498046875,0.0,0.0,300,1.2,18,5
1586740283.335089,5.10498046875,0.0823974609375,0.0,300,1.2,18,5
1586740283.3867168,5.10498046875,-0.054931640625,0.0,300,1.2,18,5
1586740283.438134,5.13427734375,0.0274658203125,0.0,300,1.2,18,5
1586740283.491016,5.13427734375,0.0274658203125,0.0,300,1.2,18,5
1586740283.5423858,5.1617431640625,-0.0823974609375,0.0,300,1.2,18,5
1586740283.595742,5.13427734375,-0.0823974609375,0.0,300,1.2,18,5
1586740283.6464279,5.13427734375,0.0,0.0,300,1.2,18,5
1586740283.724672,5.13427734375,0.054931640625,0.0,300,1.2,18,5
1586740283.7785568,5.13427734375,-0.0274658203125,0.0,300,1.2,18,5
1586740283.853485,5.13427734375,0.0274658203125,0.0,300,1.2,18,5
1586740283.9041228,5.13427734375,0.0,0.0,300,1.2,18,5
1586740283.953727,5.1617431640625,0.0,0.0,300,1.2,18,5
1586740284.004081,5.1617431640625,-0.0823974609375,0.0,300,1.2,18,5
1586740284.053259,8.63525390625,43.7347412109375,2.50244140625,300,1.2,18,5
1586740284.1039848,10.015869140625,46.636962890625,15.56396484375,300,1.2,18,5
1586740284.153415,11.6693115234375,49.7955322265625,28.6376953125,300,1.2,18,5
1586740284.203712,13.2659912109375,47.8271484375,41.796875,300,1.2,18,5
1586740284.254196,14.7491455078125,50.2349853515625,55.1513671875,300,1.2,18,5
1586740284.303929,16.1590576171875,52.6153564453125,68.88427734375,300,1.2,18,5
1586740284.3538618,17.596435546875,48.2757568359375,82.6416015625,300,1.2,18,5
1586740284.404317,19.024658203125,50.372314453125,96.38671875,300,1.2,18,5
1586740284.453652,20.4913330078125,51.287841796875,110.63232421875,300,1.2,18,5
1586740284.503304,21.89208984375,50.09765625,124.70703125,300,1.2,18,5
1586740284.5530071,23.3843994140625,51.3427734375,138.61083984375,300,1.2,18,5
1586740284.6039429,24.803466796875,52.03857421875,152.84423828125,300,1.2,18,5
1586740284.653193,26.1492919921875,50.372314453125,166.56494140625,300,1.2,18,5
1586740284.7045639,27.568359375,47.882080078125,180.37109375,300,1.2,18,5
1586740284.753622,28.9581298828125,50.3173828125,194.78759765625,300,1.2,18,5
1586740284.803516,30.35888671875,50.1251220703125,208.154296875,300,1.2,18,5
1586740284.853293,31.805419921875,52.0111083984375,222.16796875,300,1.2,18,5
1586740284.904315,33.2244873046875,45.1995849609375,236.181640625,300,1.2,18,5
1586740284.954636,34.541015625,47.222900390625,249.6826171875,300,1.2,18,5
1586740285.004438,35.9234619140625,52.7801513671875,263.4033203125,300,1.2,18,5
1586740285.0537028,37.32421875,52.093505859375,277.50244140625,300,1.2,18,5
1586740285.103498,38.704833984375,49.127197265625,291.32080078125,300,1.2,18,5
1586740285.153763,35.5499267578125,-4.8065185546875,295.2880859375,300,1.2,18,5
1586740285.203552,35.438232421875,0.7965087890625,294.90966796875,300,1.2,18,5
1586740285.2534888,24.8602294921875,-82.965087890625,291.9677734375,300,1.2,18,5
1586740285.304136,13.377685546875,-170.3704833984375,253.7841796875,300,1.2,18,5
1586740285.3545148,12.685546875,-130.8837890625,212.02392578125,300,1.2,18,5
1586740285.404875,11.3800048828125,-129.0618896484375,174.81689453125,300,1.2,18,5
1586740285.454182,10.810546875,-108.0596923828125,143.2861328125,300,1.2,18,5
1586740285.504002,10.0726318359375,-94.390869140625,114.36767578125,300,1.2,18,5
1586740285.554594,9.437255859375,-83.880615234375,90.0634765625,300,1.2,18,5
1586740285.6038249,8.8311767578125,-72.94921875,69.0673828125,300,1.2,18,5
1586740285.6540842,8.3074951171875,-63.68408203125,50.2197265625,300,1.2,18,5
1586740285.7043588,7.840576171875,-49.98779296875,35.1318359375,300,1.2,18,5
1586740285.7537978,7.393798828125,-41.802978515625,22.27783203125,300,1.2,18,5
1586740285.804149,6.9635009765625,-35.577392578125,11.34033203125,300,1.2,18,5
1586740285.854475,6.70166015625,-29.296875,2.60009765625,300,1.2,18,5
1586740285.904206,6.357421875,-22.9339599609375,0.0,300,1.2,18,5
1586740285.954154,6.104736328125,-18.1732177734375,0.0,300,1.2,18,5
1586740286.003725,5.9637451171875,-13.00048828125,0.0,300,1.2,18,5
1586740286.053658,5.85205078125,-9.5123291015625,0.0,300,1.2,18,5
1586740286.1042728,5.7037353515625,-6.500244140625,0.0,300,1.2,18,5
1586740286.153837,5.6195068359375,-4.6142578125,0.0,300,1.2,18,5
1586740286.203965,5.4986572265625,-2.9571533203125,0.0,300,1.2,18,5
1586740286.25416,5.4144287109375,-2.069091796875,0.0,300,1.2,18,5
1586740286.3031108,5.357666015625,-1.6021728515625,0.0,300,1.2,18,5
1586740286.353984,5.3009033203125,-1.1810302734375,0.0,300,1.2,18,5
1586740286.403808,5.2734375,-0.87890625,0.0,300,1.2,18,5
1586740286.454698,5.218505859375,-0.823974609375,0.0,300,1.2,18,5
1586740286.50337,5.218505859375,-0.714111328125,0.0,300,1.2,18,5
1586740286.554741,5.13427734375,-0.439453125,0.0,300,1.2,18,5
1586740286.6041112,5.10498046875,-0.439453125,0.0,300,1.2,18,5
1586740286.653777,5.0775146484375,-0.4119873046875,0.0,300,1.2,18,5
1586740286.703541,5.0775146484375,-0.32958984375,0.0,300,1.2,18,5
1586740286.754588,5.050048828125,-0.4119873046875,0.0,300,1.2,18,5
1586740286.804211,5.050048828125,-0.274658203125,0.0,300,1.2,18,5
1586740286.853315,5.0225830078125,-0.32958984375,0.0,300,1.2,18,5
1586740286.904502,5.0225830078125,-0.274658203125,0.0,300,1.2,18,5
1586740286.953948,5.0225830078125,0.6866455078125,0.0,300,1.2,18,5
1586740287.003563,5.1617431640625,0.0,0.0,300,1.2,18,5
1586740287.054015,5.13427734375,-0.10986328125,0.0,300,1.2,18,5
1586740287.104243,5.189208984375,0.1373291015625,0.0,300,1.2,18,5
1586740287.1535969,5.189208984375,-0.054931640625,0.0,300,1.2,18,5
1586740287.204095,5.1617431640625,-0.0823974609375,0.0,300,1.2,18,5
1586740287.253551,5.1617431640625,-0.0274658203125,0.0,300,1.2,18,5
1586740287.303582,5.189208984375,0.0274658203125,0.0,300,1.2,18,5
1586740287.3545668,5.189208984375,-0.054931640625,0.0,300,1.2,18,5
1586740287.40496,9.2413330078125,49.21875,7.11669921875,300,1.2,18,5
1586740287.453755,10.8380126953125,47.16796875,20.56884765625,300,1.2,18,5
1586740287.5033119,12.3779296875,48.2208251953125,34.033203125,300,1.2,18,5
1586740287.553733,13.8812255859375,47.8546142578125,47.4853515625,300,1.2,18,5
1586740287.603521,15.4302978515625,48.74267578125,61.5966796875,300,1.2,18,5
1586740287.654392,16.878662109375,51.397705078125,75.01220703125,300,1.2,18,5
1586740287.704247,18.3160400390625,50.20751953125,88.34228515625,300,1.2,18,5
1586740287.753437,19.8101806640625,48.2757568359375,102.5146484375,300,1.2,18,5
1586740287.803304,21.1907958984375,49.5208740234375,116.30859375,300,1.2,18,5
1586740287.854408,22.60986328125,50.3997802734375,130.31005859375,300,1.2,18,5
1586740287.90481,24.169921875,50.3173828125,144.580078125,300,1.2,18,5
1586740287.954165,25.550537109375,49.017333984375,158.49609375,300,1.2,18,5
1586740288.004538,26.978759765625,52.9815673828125,172.44873046875,300,1.2,18,5
1586740288.053992,28.35205078125,49.1912841796875,186.42578125,300,1.2,18,5
1586740288.103934,29.7894287109375,49.658203125,199.8779296875,300,1.2,18,5
1586740288.1543272,31.226806640625,46.783447265625,213.61083984375,300,1.2,18,5
1586740288.203886,32.655029296875,50.958251953125,227.86865234375,300,1.2,18,5
1586740288.254255,34.0374755859375,51.8463134765625,241.32080078125,300,1.2,18,5
1586740288.304644,35.438232421875,51.4251708984375,255.35888671875,300,1.2,18,5
1586740288.353318,36.8756103515625,49.76806640625,269.6533203125,300,1.2,18,5
1586740288.403584,38.2470703125,50.042724609375,283.4716796875,300,1.2,18,5
1586740288.454029,35.269775390625,14.410400390625,295.22705078125,300,1.2,18,5
1586740288.503993,36.20361328125,-1.0162353515625,294.8486328125,300,1.2,18,5
1586740288.5535848,35.6048583984375,-0.823974609375,294.970703125,300,1.2,18,5
1586740288.604218,17.801513671875,-130.718994140625,281.21337890625,300,1.2,18,5
1586740288.654593,13.1524658203125,-153.350830078125,238.02490234375,300,1.2,18,5
